month,company,company_code,mine,ministry_owned_company,region,region_code,mark,extraction_fact,extraction_plan,ash_percent_fact,ash_percent_plan
03.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""Родинська""",1,Донецька область,1400000000,ГЖП,1100.0,0.0,32.53454545454545,0.0
03.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""Центральна""",1,Донецька область,1400000000,ГЖП,1100.0,2000.0,33.916363636363634,34.5
03.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""Капітальна""",1,Донецька область,1400000000,ГЖП,32500.0,40000.0,53.319138461538465,51.900001525878906
03.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""5/6"" ",1,Донецька область,1400000000,Г(Г2),3180.0,3000.0,32.23553459119497,35.099998474121094
03.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта ""Курахiвська""",1,Донецька область,1400000000,ДГ,920.0,12000.0,42.43913043478261,45.599998474121094
03.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта 1-3 ""Новогродiвська""",1,Донецька область,1400000000,Г(Г2),1500.0,1000.0,23.875333333333334,32.099998474121094
03.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта ""Котляревська""",1,Донецька область,1400000000,Г(Г1),800.0,1000.0,25.0575,44.29999923706055
03.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта ""Україна""",1,Донецька область,1400000000,ДГ,6913.0,9000.0,42.745985823810216,44.900001525878906
03.2019,ДП Торецьквугiлля,33839013,"ВП ""Шахта ""Центральна""",1,Донецька область,1400000000,Ж,13636.0,14500.0,38.14791727779407,36.5
03.2019,ДП Торецьквугiлля,33839013,"ВП ""Шахта ""Торецька""",1,Донецька область,1400000000,Ж,7350.0,6000.0,33.0,34.79999923706055
03.2019,ДП Первомайськвугiлля,32320594,ш.Тошкiвська,1,Луганська область,4400000000,ДГ,3140.0,3000.0,21.146496815286625,24.0
03.2019,ДП Первомайськвугiлля,32320594,ш.Гiрська,1,Луганська область,4400000000,Г(Г2),9600.0,14000.0,50.876041666666666,44.5
03.2019,ДП Первомайськвугiлля,32320594,ш.Золоте,1,Луганська область,4400000000,Г(Г1),120.0,500.0,28.45,41.0
03.2019,ДП Первомайськвугiлля,32320594,ш.Карбонiт,1,Луганська область,4400000000,Г(Г2),5895.0,6500.0,21.86598812553011,25.100000381469727
03.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.iм.Г.Г.Капустiна,1,Луганська область,4400000000,ДГ,2200.0,2000.0,28.292272727272728,28.299999237060547
03.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.Привільняньска,1,Луганська область,4400000000,ДГ,1068.0,1000.0,47.76685393258427,46.20000076293945
03.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.Новодружеська,1,Луганська область,4400000000,ДГ,355.0,400.0,30.15774647887324,32.79999923706055
03.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.iм.Д.Ф.Мельникова,1,Луганська область,4400000000,ДГ,19320.0,15000.0,50.84182194616977,46.29999923706055
03.2019,ДП Львiввугiлля,32323256,ш.Великомостiвська,1,Львiвська область,4600000000,Г(Г2),17721.0,17500.0,50.28694768918233,45.0
03.2019,ДП Львiввугiлля,32323256,ш.Межирiчанська,1,Львiвська область,4600000000,Г(Г2),15169.0,11700.0,48.400685608807436,48.400001525878906
03.2019,ДП Львiввугiлля,32323256,ш.Вiдродження,1,Львiвська область,4600000000,Г(Г2),17795.0,14800.0,54.49277887046923,51.29999923706055
